row_index,rho,p_value,p_adjusted,ensembl_gene_id,gene_symbol,gene_type
5466,0.3419361923091053,6.953552482509735e-06,0.12124909463752225,ENSG00000124171.9,PARD6B,protein_coding
12006,0.3167232495276446,3.403076564980233e-05,0.19080729111701955,ENSG00000167065.14,DUSP18,protein_coding
10909,0.3108114046053011,4.840614848304733e-05,0.19080729111701955,ENSG00000163082.10,SGPP2,protein_coding
11964,0.3016208935215193,8.249794289668589e-05,0.19080729111701955,ENSG00000166889.14,PATL1,protein_coding
5482,0.2998483646279917,9.124744647338676e-05,0.19080729111701955,ENSG00000124214.20,STAU1,protein_coding
10567,0.29944877718956636,9.333633036616317e-05,0.19080729111701955,ENSG00000161011.20,SQSTM1,protein_coding
5480,0.2991987788947567,9.466588564399038e-05,0.19080729111701955,ENSG00000124209.4,RAB22A,protein_coding
5595,0.2975922324756519,0.00010364182734988948,0.19080729111701955,ENSG00000124831.19,LRRFIP1,protein_coding
7187,0.29715245553611747,0.00010623418039211642,0.19080729111701955,ENSG00000135960.10,EDAR,protein_coding
13063,0.2948504478981491,0.00012082180887780604,0.19080729111701955,ENSG00000171475.14,WIPF2,protein_coding
12444,0.29338939228995814,0.0001310292953371008,0.19080729111701955,ENSG00000168827.15,GFM1,protein_coding
12676,0.29335045812929106,0.00013131200856823045,0.19080729111701955,ENSG00000169813.16,HNRNPF,protein_coding
17653,0.29002466114178205,0.00015767700960695553,0.20189250924731805,ENSG00000198142.5,SOWAHC,protein_coding
1322,0.28951851705311005,0.0001620975586088463,0.20189250924731805,ENSG00000075785.14,RAB7A,protein_coding
11646,0.28675828997844915,0.00018830732886879984,0.21375546089329667,ENSG00000165650.12,PDZD8,protein_coding
2060,0.2851373993948881,0.0002054852631323106,0.21375546089329667,ENSG00000096384.20,HSP90AB1,protein_coding
20391,0.284875106101973,0.00020839839623708456,0.21375546089329667,ENSG00000206527.10,HACD2,protein_coding
9666,0.28278290725770516,0.0002330488484646993,0.21450822041345352,ENSG00000153561.13,RMND5A,protein_coding
9417,0.28272757976623086,0.00023373608922725337,0.21450822041345352,ENSG00000151532.14,VTI1A,protein_coding
24888,-0.2811148858480734,0.00025461535851442456,0.22198640032080105,ENSG00000223749.11,MIR503HG,lncRNA
15700,0.2798566977086214,0.0002720942725072588,0.22592894427186055,ENSG00000184307.16,ZDHHC23,protein_coding
5094,0.2783997404331323,0.00029372406971593976,0.23280302743803824,ENSG00000120756.13,PLS1,protein_coding
2742,0.2758239383300523,0.00033591213861017087,0.2517524093465816,ENSG00000103018.17,CYB5B,protein_coding
11967,0.2722932247074534,0.0004029038690863027,0.2517524093465816,ENSG00000166900.17,STX3,protein_coding
1410,0.27122151070593326,0.0004255637696595566,0.2517524093465816,ENSG00000078114.19,NEBL,protein_coding
