Source Member,Gene Symbol
AB000460_at,FAM193A
AB002533_at,RPLP2
AC002045_xpt2_s_at,NPIPA1
AC002115_cds1_at,COX6B1
AJ000099_s_at,HYAL2
AJ001421_at,RER1
D00017_at,ANXA2
D10522_at,MARCKS
D13118_at,ATP5MC1
D13370_at,APEX1
D13413_rna1_s_at,RPL24
D13639_at,CCND2
D13748_at,EIF4A1
D13900_at,ECHS1
D13988_at,GDI2
D14043_at,CD164
D14530_at,RPS23
D14658_at,SPCS2
D14662_at,PRDX6
D14694_at,PTDSS1
D14710_at,ATP5F1A
D14812_at,MORF4L2
D16217_at,CAST
D16562_at,ATP5F1C
D21260_at,CLTC
D21261_at,TAGLN2
D21853_at,EIF4A3
D23660_at,RPL4
D23662_at,NEDD8
D23673_at,MPRIP
D25274_at,RAC1
D26068_at,EIF4H
D26598_at,PSMB3
D26599_at,PSMB2
D26600_at,PSMB4
D29012_at,PSMB6
D29963_at,
D30655_at,EIF4A2
D31767_at,DAZAP2
D31883_at,ABLIM1
D31884_at,JOSD1
D31885_at,ARL6IP1
D31890_at,KARS1
D32050_at,AARS1
D32129_f_at,HLA-A
D38047_at,PSMD8
D42043_at,RFTN1
D43642_at,VPS72
D49400_at,ATP6V1F
D49824_s_at,HLA-B
D50063_at,PSMD7
D50310_at,CCNI
D55654_at,MDH1
D63874_at,HMGB1
D63878_at,SEPTIN2
D78134_at,CIRBP
D78151_at,PSMD2
D78361_at,OAZ1
D78577_s_at,YWHAH
D79205_at,RPL39
D79986_at,BCLAF1
D82348_at,ATIC
D84110_at,RBPMS
D85758_at,ERH
D86963_at,DVL3
D86974_at,NPIPB3
D87258_at,HTRA1
D87442_at,NCSTN
D87735_at,RPL14
D87953_at,NDRG1
D89667_at,PFDN5
D90209_at,ATF4
HG1102-HT1102_at,
HG1153-HT1153_at,
HG1322-HT5143_s_at,
HG1428-HT1428_s_at,
HG1515-HT1515_f_at,
HG1800-HT1823_at,
HG1862-HT1897_at,
HG1980-HT2023_at,
HG2167-HT2237_at,
HG2238-HT2321_s_at,
HG2279-HT2375_at,
HG2639-HT2735_s_at,
HG2788-HT2896_at,
HG2815-HT2931_s_at,
HG2815-HT4023_s_at,
HG2855-HT2995_at,
HG2873-HT3017_at,
HG2915-HT3059_f_at,
HG2917-HT3061_f_at,
HG3076-HT3238_s_at,
HG311-HT311_at,
HG3214-HT3391_at,
HG33-HT33_at,
HG3364-HT3541_at,
HG3514-HT3708_at,
HG3549-HT3751_at,
HG3597-HT3800_f_at,
HG384-HT384_at,
HG417-HT417_s_at,
HG4297-HT4567_at,
HG4319-HT4589_at,
HG4541-HT4946_s_at,
HG4542-HT4947_at,
HG613-HT613_at,
HG658-HT658_f_at,
HG662-HT662_at,
HG821-HT821_at,
HG987-HT987_at,
J00105_s_at,B2M
